"Продам 3к квартиру, гарна планування, не кутова, лічильники    ","Хмельницкий, Хмельницкая область"," 12:19, 24 июля 2017",427371684,"20 000 $","гарне планування, всі кімнати окремі, квартира не кутова, м/п вікна, лічильники, фото приблизне                                        
                                    
                                    
                                
                                

                                
                                                                                                
                                    
                                        ","Бизнес																","Вторичный рынок																",3,"65 м","не указано","не указано","не указано",2,9,https://olxua-ring07.akamaized.net/images_slandocomua/491830044_2_644x461_prodam-3k-kvartiru-garna-planuvannya-ne-kutova-lchilniki-fotografii_rev004.jpg,https://olxua-ring07.akamaized.net/images_slandocomua/491830044_3_644x461_prodam-3k-kvartiru-garna-planuvannya-ne-kutova-lchilniki-vtorichnyy-rynok_rev004.jpg,"не указано",https://www.olx.ua/obyavlenie/prodam-3k-kvartiru-garna-planuvannya-ne-kutova-lchilniki-IDsWcTG.html#d87ad13fbe;promoted
"Надежный дом и Уют Вашей 3-х квартиры: пр.Юбилейный. Без комиссии    ","Запорожье, Запорожская область, Хортицкий"," 18:29, 23 июля 2017",439761636,"23 500 $","Вашему вниманию предлагается трехкомнатная квартира в одном из лучших домов Хортицкого района по адресу пр. Юбилейный,  39А.

	БЕЗ КОМИССИИ для покупателя!
	Квартира идеально расположена на пятом этаже 9-ти этажного дома. 
	Просторный коридор, пол паркет, пластиковые окна.
	Раздельный санузел с современным кафелем.  Заменены все трубы. Установлен бойлер.","Бизнес																","Вторичный рынок																",3,"70 м","46 м","7 м","Панельный																</a>",5,9,https://olxua-ring02.akamaized.net/images_slandocomua/508730346_2_644x461_nadezhnyy-dom-i-uyut-vashey-3-h-kvartiry-pryubileynyy-bez-komissii-fotografii.jpg,https://olxua-ring02.akamaized.net/images_slandocomua/508730346_3_644x461_nadezhnyy-dom-i-uyut-vashey-3-h-kvartiry-pryubileynyy-bez-komissii-vtorichnyy-rynok.jpg,https://olxua-ring02.akamaized.net/images_slandocomua/508730346_4_644x461_nadezhnyy-dom-i-uyut-vashey-3-h-kvartiry-pryubileynyy-bez-komissii-nedvizhimost.jpg,https://www.olx.ua/obyavlenie/nadezhnyy-dom-i-uyut-vashey-3-h-kvartiry-pr-yubileynyy-bez-komissii-IDtLc5C.html#d87ad13fbe;promoted
"Мотельно развлекательный комплекс    ","Ямполь, Винницкая область, Винницкая область"," 11:31, 29 июля 2017",422389734,"250 000 $","Два отдельно стоящих здания. В первом здании 3 этажа. СТО, мойка, шиномонтаж, банкетный зал (ресторан), Бар, кухня, кладовые, хозяйская зона, 6 номеров (мотельного типа), возможность расширения. Во втором здании 3 этажа. Большой гараж. 2 сауны. 2 комнаты отдыха. Беседка. Лесная зона.  Все коммуникации в отличном состоянии. Техническая документация. Акт на землю.","Частного лица																","не указано","не указано","не указано","не указано","не указано","не указано","не указано","не указано",https://olxua-ring02.akamaized.net/images_slandocomua/485120140_2_644x461_motelno-razvlekatelnyy-kompleks-fotograf_rev012.jpg,https://olxua-ring02.akamaized.net/images_slandocomua/485120140_3_644x461_motelno-razvlekatelnyy-kompleks-nsha-neruhomst_rev012.jpg,https://olxua-ring02.akamaized.net/images_slandocomua/485120140_4_644x461_motelno-razvlekatelnyy-kompleks-neruhomst_rev012.jpg,https://www.olx.ua/obyavlenie/motelno-razvlekatelnyy-kompleks-IDsAiRE.html#d87ad13fbe;promoted
"Продажа-обмен цеха Винница Химпром,4000 м2    ","Винница, Винницкая область, Замостянский"," 00:57, 23 июля 2017",75192755,"399 000 $","Цех для производства хим. продукции,4000 м2,участок земли 1,09 га,ЖД ветка,газ,э/э,автоподъезд,владелец компания США,возможен обмен недвижимости на Кипре,в Киеве,Одессе,Европе.Торг.","Бизнес																","не указано","не указано","не указано","не указано","не указано","не указано","не указано","не указано",https://olxua-ring05.akamaized.net/images_slandocomua/105340977_2_644x461_prodazha-obmen-tseha-vinnitsa-himprom4000-m2-fotografii_rev001.jpg,https://olxua-ring05.akamaized.net/images_slandocomua/105340977_3_644x461_prodazha-obmen-tseha-vinnitsa-himprom4000-m2-prodazha-otdelno-stoyaschih-zdaniy_rev001.jpg,https://olxua-ring05.akamaized.net/images_slandocomua/105340977_4_644x461_prodazha-obmen-tseha-vinnitsa-himprom4000-m2-nedvizhimost_rev001.jpg,https://www.olx.ua/obyavlenie/prodazha-obmen-tseha-vinnitsa-himprom-4000-m2-ID55w4n.html#d87ad13fbe;promoted
"Полтава (село Глоды , 16км) .Продам землю ОСГ, 6га. 3 участка по 2 га    ","Полтава, Полтавская область"," 11:45, 20 июля 2017",237689452,"20 000 $","село Глоды, 16 км от Полтавы в престижном месте, рядом пляжно- развлекательный комплекс Мыс доброй надежды. Продам землю ОСГ-6 га, 3 участка по 2 га. 50м от реки Ворскла (Стоимость -100$ сотка). Ровные, супесок, электрика проходит вдоль всех участков. На границе находится жилой дачный комплекс.Обмен на недвижимость в Полтаве, Киеве.","Частного лица																","не указано","не указано","не указано","не указано","не указано","не указано","не указано","не указано","не указано","не указано","не указано",https://www.olx.ua/obyavlenie/poltava-selo-glody-16km-prodam-zemlyu-osg-6ga-3-uchastka-po-2-ga-IDg5jSQ.html#d87ad13fbe;promoted
"Свой Париж это ЖК Женевьева 2    ","Ирпень, Киевская область"," 20:38, 9 августа 2017",438780000,"56 979 $"," Эйфелева башня для освещения придомовой территории комплекса, французская кондитерская, ландшафтный дизайн - Своя Франция, Свой Париж, не покидая черту города Ирпень.","Бизнес																","Новостройки																",3,"88 м","45 м","16 м","не указано",3,7,https://olxua-ring08.akamaized.net/images_slandocomua/507402086_2_644x461_svoy-parizh-eto-zhk-zheneveva-2-fotografii.jpg,https://olxua-ring08.akamaized.net/images_slandocomua/507402086_3_644x461_svoy-parizh-eto-zhk-zheneveva-2-novostroyki.jpg,https://olxua-ring08.akamaized.net/images_slandocomua/507402086_4_644x461_svoy-parizh-eto-zhk-zheneveva-2-nedvizhimost.jpg,https://www.olx.ua/obyavlenie/svoy-parizh-eto-zhk-zheneveva-2-IDtH4IM.html#d87ad13fbe
"Сдам шикарный офис в центре ( пл.Героев Майдана).Сниму.    ","Днепр, Днепропетровская область, Жовтневый"," 20:38, 9 августа 2017",442574224,"35 000 грн.","Сдам офис 200 кв.м. в Центре (пл.Героев Майдана), пр.Яворницкого.Помещение расположено на первом этаже офисного здания. Помещение спланировано : ресепшн, учебные классы, подсобные помещения. Зделан качественный ремонт. Использовалось как учебный центр.","Бизнес																","не указано","не указано","не указано","не указано","не указано","не указано","не указано","не указано",https://olxua-ring02.akamaized.net/images_slandocomua/512563364_2_644x461_sdam-shikarnyy-ofis-v-tsentre-plgeroev-maydanasnimu-fotografii_rev036.jpg,https://olxua-ring02.akamaized.net/images_slandocomua/512563364_3_644x461_sdam-shikarnyy-ofis-v-tsentre-plgeroev-maydanasnimu-arenda-ofisov_rev036.jpg,https://olxua-ring02.akamaized.net/images_slandocomua/512563364_4_644x461_sdam-shikarnyy-ofis-v-tsentre-plgeroev-maydanasnimu-nedvizhimost_rev036.jpg,https://www.olx.ua/obyavlenie/sdam-shikarnyy-ofis-v-tsentre-pl-geroev-maydana-snimu-IDtVZLV.html#d87ad13fbe
"Продам дом, от хозяина    ","Мариуполь, Донецкая область"," 20:38, 16 августа 2017",94703115,"189 000 $","Продается двухэтажный частный дом. Шесть комнат, гардероб, два санузла, гараж, отдельно стоящие бильярдная и дизель-генератор, хоз постройки. Все коммуникации (вода, газ, э/э, канализация, интернет, кабельное и спутниковое ТВ, сигнализация, резервное электроснабжение). Возможна продажа с техникой и мебелью. Звоните и приходите на просмотр. .","Частного лица																","не указано","не указано","не указано","не указано","не указано","не указано","не указано","не указано",https://olxua-ring09.akamaized.net/images_slandocomua/90267173_2_644x461_prodam-dom-ot-hozyaina-fotografii.jpg,https://olxua-ring09.akamaized.net/images_slandocomua/90267173_3_644x461_prodam-dom-ot-hozyaina-prodazha-domov-v-gorode.jpg,https://olxua-ring09.akamaized.net/images_slandocomua/90267173_4_644x461_prodam-dom-ot-hozyaina-nedvizhimost.jpg,https://www.olx.ua/obyavlenie/prodam-dom-ot-hozyaina-ID6pmBB.html#d87ad13fbe
"Гараж &quot;Авиатор&quot;    ","Луганск, Луганская область, Ленинский"," 20:38, 16 августа 2017",321697340,"2 500 $","Капитальный гараж из шлакоблока, новая проводка. Есть несколько вариантов                                        
                                    
                                    
                                
                                

                                
                                                                                                

	
        	","Частного лица																","не указано","не указано","не указано","не указано","не указано","не указано","не указано","не указано","не указано","не указано","не указано",https://www.olx.ua/obyavlenie/garazh-aviator-IDlLOaM.html#d87ad13fbe
"Продам 2к квартиру в Эстонии    ","Днепр, Днепропетровская область, Индустриальный"," 20:38, 16 августа 2017",446315660,,"Продам 2к квартиру в Эстонии, уезд Abja- Poluoja, 46кв.м, 3 этаж трёхэтажного дома, новый ремонт, экологически-чистый р-н, лес, озеро.
60км от Балтийского моря г.Пярну, 150 км от г.Таллин, 35км от г.","Частного лица																","Вторичный рынок																",2,"3 м","51 м","8 м","Кирпичный																</a>",3,3,https://olxua-ring12.akamaized.net/images_slandocomua/517698726_2_644x461_prodam-2k-kvartiru-v-estonii-fotografii.jpg,https://olxua-ring12.akamaized.net/images_slandocomua/517698726_3_644x461_prodam-2k-kvartiru-v-estonii-vtorichnyy-rynok.jpg,https://olxua-ring12.akamaized.net/images_slandocomua/517698726_4_644x461_prodam-2k-kvartiru-v-estonii-nedvizhimost.jpg,https://www.olx.ua/obyavlenie/prodam-2k-kvartiru-v-estonii-IDucH5G.html#d87ad13fbe
"1к квартира с евроремонтом. ул.Булгакова 15    ","Киев, Киевская область, Святошинский"," 20:38, 16 августа 2017",446326784,"5 500 грн.","1к квартира. ул.Булгакова 15, Святошинский р-н. 5/9-эт., 34/19/8. Квартира с хорошим евроремотом. Стеклопакеты, балкон/з. Встроенная кухня угловая, двухкамерный холодильник. В комнате большой шкаф-купе, угловой диван, кондиционер, ТВ. Санузел в импортном кафеле, бойлер, СМА. Рассмотрят одного человека, пару, семью с одним ребенком от 3 лет. 5500грн/мес.","Бизнес																","не указано",1,"не указано","не указано","не указано","не указано","не указано","не указано","не указано","не указано","не указано",https://www.olx.ua/obyavlenie/1k-kvartira-s-evroremontom-ul-bulgakova-15-IDucJZ6.html#d87ad13fbe
